topic_id,question_id,question_text,option_1,option_2,option_3,option_4,option_5,correct_answer,explanation
public,PUB099,A pharmacist is counseling a patient on antibiotic use. Which statement is appropriate?,Antibiotics are effective against viruses,Save leftover antibiotics for future use,Antibiotics should be taken as prescribed,even if you feel better,It's acceptable to skip doses,Share antibiotics with family members,Antibiotics should be taken as prescribed even if you feel better Completing the full course ensures effectiveness and reduces resistance.
public,PUB079,A patient is due for the MMR vaccine but recently received a blood transfusion. What should be considered?,Proceed with vaccination immediately,Defer MMR vaccine for at least 3 months,Administer a higher dose of the vaccine,Live vaccines are safe after transfusions,No need for vaccination,Defer MMR vaccine for at least 3 months,Antibodies from blood products can interfere with the response to live vaccines like MMR; vaccination should be deferred.
haematological,HEM024,Which class of drugs is most likely to exacerbate symptoms of benign prostatic hyperplasia (BPH) by increasing urinary retention?,Anticholinergics,Beta-blockers,ACE inhibitors,Statins,Antibiotics,Anticholinergics,Anticholinergic drugs can worsen BPH symptoms by relaxing the bladder detrusor muscle
population,POP062,An elderly patient is experiencing adverse effects from anticholinergic medications. Which symptom is NOT typically associated with anticholinergic toxicity?,Dry mouth,Blurred vision,Urinary retention,Diarrhea,Confusion,Diarrhea,"Anticholinergic effects typically cause constipation, not diarrhea, along with dry mouth, blurred vision, urinary retention, and confusion."
special,SP002,A 70-year-old patient on multiple medications presents with confusion and dizziness. Which drug class is most likely contributing to these symptoms in geriatric patients?,Beta-blockers,Anticholinergics,NSAIDs,Antibiotics,Diuretics,Anticholinergics,"Anticholinergic medications can cause confusion, dizziness, and cognitive impairment, particularly in elderly patients due to changes in blood-brain barrier permeability and brain sensitivity."
nervous,CNS051,A patient with Parkinson’s disease is experiencing orthostatic hypotension. Which class of medications should be used cautiously due to their potential to worsen this condition?,Dopamine agonists,MAO-B inhibitors,Anticholinergics,Beta-blockers,COMT inhibitors,Anticholinergics,Anticholinergic medications can exacerbate orthostatic hypotension in Parkinson’s disease patients by causing vasodilation and reducing sympathetic tone.
population,POP072,An elderly patient is prescribed an anticholinergic medication. Which cognitive side effect is of concern?,Improved memory,Enhanced concentration,Confusion and delirium,Increased alertness,No cognitive effects,Confusion and delirium,"Anticholinergic medications can impair cognitive function, leading to confusion and delirium, particularly in the elderly."
population,POP075,An elderly patient is experiencing dry mouth due to medication use. Which class of drugs is most likely responsible?,Beta-blockers,ACE inhibitors,Anticholinergics,Calcium channel blockers,Statins,Anticholinergics,"Anticholinergic medications reduce salivary secretion, leading to dry mouth, which is a common side effect in the elderly."
toxicology,TOX052,A patient presents with agitation and dilated pupils after using an unknown drug. Which type of drug is most likely?,Opioids,Anticholinergics,Benzodiazepines,Alcohol,Antidepressants,Anticholinergics,"Anticholinergics are known to cause agitation, dilated pupils, and confusion due to their effects on the central nervous system."
genitourinary,GEN017,A 60-year-old male with BPH is experiencing dry mouth and urinary retention. Which medication class used in BPH could exacerbate these symptoms?,Alpha-blockers,Anticholinergics,PDE5 inhibitors,5-alpha reductase inhibitors,Diuretics,Anticholinergics,"Anticholinergics can exacerbate urinary retention in BPH and cause dry mouth, as they inhibit acetylcholine, leading to decreased bladder muscle contraction and secretion."
haematological,HEM115,Which medication class is most likely to exacerbate urinary retention in patients with BPH?,Alpha-blockers,Diuretics,Anticholinergics,Beta-blockers,Statins,Anticholinergics,Anticholinergics can exacerbate urinary retention in BPH by reducing bladder muscle contractions.
toxicology,TOX001,A patient presents with confusion and dilated pupils after taking an unknown substance. Which substance is most likely involved?,Opioids,Anticholinergics,Benzodiazepines,Alcohol,Barbiturates,Anticholinergics,"Anticholinergics often cause confusion, dilated pupils, and dry skin due to their effects on the nervous system."
psychiatric,PSY074,What is a potential effect of using antidepressants during pregnancy?,Reduced risk of postpartum depression,Birth defects,Withdrawal symptoms in neonates,All of the above,None of the above,All of the above,"Antidepressants can have risks during pregnancy, including potential birth defects and withdrawal symptoms in neonates, but may also reduce the risk of postpartum depression."
diarrhoea,DIA024,What type of laxative is typically avoided in patients with acute gastroenteritis?,Stimulant laxatives,Osmotic laxatives,Bulk-forming laxatives,Antidiarrheals,Saline laxatives,Antidiarrheals,Antidiarrheals like loperamide are avoided in patients with acute gastroenteritis as they can prolong the illness.
chemotherapy,CHE023,Which medication is used to prevent nausea and vomiting associated with chemotherapy?,Antidepressants,Antihypertensives,Antiemetics,Analgesics,None of the above,Antiemetics,"Antiemetics are used to prevent nausea and vomiting, which are common side effects of many chemotherapy agents."
gastrointestinal,GAS078,Which class of drug is commonly used to treat nausea in patients with GI disorders by blocking dopamine receptors?,PPIs,Antacids,Prokinetics,Antiemetics,H2 blockers,Antiemetics,"Antiemetics such as metoclopramide block dopamine receptors to reduce nausea and vomiting, often used in GI disorders."
pain,PAI093,A patient on high-dose opioids for cancer pain is also experiencing nausea. Which class of medication can be prescribed to manage opioid-induced nausea?,Antidepressants,NSAIDs,Anticholinergics,Antiemetics,Antibiotics,Antiemetics,"Antiemetics, such as ondansetron or metoclopramide, can help manage nausea associated with high-dose opioid use in cancer pain patients."
antiepileptics,EPI116,What is the potential impact of antiepileptic medications on mood?,Improvement in mood,Mood swings,No effect,All of the above,None of the above,Mood swings,"Antiepileptic medications, particularly levetiracetam and topiramate, can cause mood swings and irritability in some patients."
otc,OTC068,A customer asks for advice on treating his athlete's foot. He prefers a spray formulation. Which OTC product is available as a spray?,Clotrimazole spray,Tolnaftate spray,Miconazole spray,Terbinafine spray,All of the above,All of the above,"Antifungal sprays are available with various active ingredients like clotrimazole, miconazole, tolnaftate, and terbinafine, providing convenient application."
eye,EYE051,What is the formulation of choice for treating eye allergies?,Antihistamine drops,Artificial tears,Oral antihistamines,Topical steroids,All of the above,Antihistamine drops,Antihistamine drops are the formulation of choice for immediate relief of eye allergies.
ophthalmology,OPH118,A patient with allergic conjunctivitis complains of eye itching and redness. Which treatment would you recommend?,Antibiotic eye drops,Latanoprost,Antihistamine eye drops,Artificial tears,Timolol,Antihistamine eye drops,Antihistamine eye drops alleviate allergic conjunctivitis symptoms by blocking histamine receptors.
ophthalmology,OPH011,A patient with allergic conjunctivitis is looking for relief. Which of the following eye drops would you recommend?,Ciprofloxacin,Prednisolone,Antihistamine eye drops,Timolol,Latanoprost,Antihistamine eye drops,Antihistamine eye drops are effective for allergic conjunctivitis as they block histamine
allergy,ALL025,Which medication can help manage symptoms of allergic conjunctivitis?,Topical steroids,Antihistamine eye drops,Oral decongestants,All of the above,Antihistamine eye drops,Antihistamine eye drops,Antihistamine eye drops are effective in managing the symptoms of allergic conjunctivitis.
face,EYR037,What type of eye drop is commonly used to treat allergic conjunctivitis?,Antihistamine drops,Antiviral drops,Antibiotic drops,Corticosteroid drops,Antihistamine drops,Antihistamine drops,Antihistamine eye drops are used to treat allergic conjunctivitis symptoms effectively.
allergy,ALL092,Which medication can help alleviate itchy eyes associated with allergies?,Antihistamine eye drops,Decongestants,Corticosteroids,Oral antihistamines,Antihistamine eye drops,Antihistamine eye drops,Antihistamine eye drops can help relieve itchy eyes caused by allergies.
ophthalmology,OPH048,A patient with allergic conjunctivitis complains of itching and redness. Which medication is appropriate for this condition?,Latanoprost,Antihistamine eye drops,NSAID eye drops,Timolol,Corticosteroid eye drops,Antihistamine eye drops,Antihistamine eye drops help alleviate itching and redness by blocking histamine in allergic conjunctivitis.
ophthalmology,OPH028,Which of the following medications is commonly used as a first-line treatment for allergic conjunctivitis?,Antibiotic eye drops,Antihistamine eye drops,NSAID eye drops,Prostaglandin analogs,Beta-blockers,Antihistamine eye drops,Antihistamine eye drops provide effective relief for allergic conjunctivitis by reducing histamine-mediated symptoms.
respire,REC026,Which medication is often used to treat allergic rhinitis symptoms?,Mucolytics,Antihistamines,Expectorants,Analgesics,Antihistamines,Antihistamines,Antihistamines are commonly used to alleviate symptoms of allergic rhinitis.
allergy,ALL116,What is a common treatment for chronic allergic rhinitis?,Topical antibiotics,Antihistamines,Oral decongestants,None of the above,Antihistamines,Antihistamines,Antihistamines are commonly used to manage chronic allergic rhinitis symptoms.
respire,REC107,Which medication class is often used for allergic rhinitis during allergy season?,Antihistamines,Antibiotics,Corticosteroids,Decongestants,Antihistamines,Antihistamines,Antihistamines are commonly used to relieve symptoms of allergic rhinitis during allergy season.
sexual,SEH107,Which medication class is often used for allergic rhinitis during allergy season?,Antihistamines,Antibiotics,Corticosteroids,Decongestants,Antihistamines,Antihistamines,Antihistamines are commonly used to relieve symptoms of allergic rhinitis during allergy season.
sleep,SLE107,Which medication class is often used for allergic rhinitis during allergy season?,Antihistamines,Antibiotics,Corticosteroids,Decongestants,Antihistamines,Antihistamines,Antihistamines are commonly used to relieve symptoms of allergic rhinitis during allergy season.
smoking,SMO107,Which medication class is often used for allergic rhinitis during allergy season?,Antihistamines,Antibiotics,Corticosteroids,Decongestants,Antihistamines,Antihistamines,Antihistamines are commonly used to relieve symptoms of allergic rhinitis during allergy season.
allergy,ALL035,Which medication class can help relieve sneezing and itching associated with allergic rhinitis?,Antihistamines,Corticosteroids,Decongestants,Mast cell stabilizers,Antihistamines,Antihistamines,Antihistamines are effective in relieving sneezing and itching symptoms associated with allergic rhinitis.
allergy,ALL045,Which medication class can help relieve sneezing and itching associated with allergic rhinitis?,Antihistamines,Corticosteroids,Decongestants,Mast cell stabilizers,Antihistamines,Antihistamines,Antihistamines are effective in relieving sneezing and itching symptoms associated with allergic rhinitis.
cough,COU060,What is an appropriate first-line treatment for cough associated with post-nasal drip?,Dextromethorphan,Guaifenesin,Benzonatate,Antihistamines,Corticosteroids,Antihistamines,Antihistamines are often recommended for cough associated with post-nasal drip due to their drying effects.
histamine,HIS042,What is the primary use of antihistamines?,Treating bacterial infections,Managing chronic pain,Relieving allergy symptoms,Controlling hypertension,Reducing inflammation,Relieving allergy symptoms,"Antihistamines are primarily used to relieve symptoms associated with allergies, such as sneezing and itching."
histamine,HIS020,What is the role of antihistamines in allergic conjunctivitis?,To reduce swelling,To treat bacterial infections,To provide hydration,To stabilize mast cells,To relieve symptoms such as itching and redness,To relieve symptoms such as itching and redness,"Antihistamines are used to relieve symptoms of allergic conjunctivitis, including itching and redness of the eyes."
otc,OTC104,A man with a history of glaucoma asks for an OTC cold remedy. Which ingredient should he AVOID?,Paracetamol,Phenylephrine,Dextromethorphan,Guaifenesin,Antihistamines,Antihistamines,"Antihistamines can cause pupil dilation and may increase intraocular pressure, worsening glaucoma. He should avoid them and consult his GP."
histamine,HIS033,Which of the following is a potential effect of antihistamine use in children?,Hyperactivity,Sedation,Increased appetite,Reduced concentration,Weight loss,Sedation,"Antihistamines can cause sedation in children, potentially leading to decreased alertness and concentration."
cough,COU045,What should be considered when prescribing antihistamines for cough relief?,They are non-sedating,They are suitable for all age groups,Their sedative properties,They should be used for long-term control,They provide immediate relief,Their sedative properties,"Antihistamines can cause sedation, which should be considered, especially in elderly patients or those operating machinery."
histamine,HIS008,What is a potential interaction to consider when prescribing antihistamines?,Antibiotics,Corticosteroids,Alcohol,Beta-blockers,NSAIDs,Alcohol,"Antihistamines can enhance the sedative effects of alcohol, so patients should be advised to avoid alcohol while taking these medications."
skin,SKN106,A patient with eczema is experiencing severe itching. Which class of medication is commonly prescribed to provide relief?,Antibiotics,Antihistamines,Topical steroids,Moisturizers,Biologics,Antihistamines,"Antihistamines can help alleviate itching by blocking histamine receptors, providing symptomatic relief in eczema."
respire,REC014,What is the recommended first-line treatment for a cough associated with postnasal drip?,Cough suppressants,Expectorants,Antihistamines,Oral corticosteroids,Antihistamines,Antihistamines,Antihistamines can help dry up postnasal drip and reduce cough associated with it.
face,EYR089,What is an appropriate treatment for an itchy throat associated with allergies?,Cough suppressants,Antihistamines,Expectorants,None of the above,Antihistamines,Antihistamines,Antihistamines can help relieve itching and irritation in the throat associated with allergies.
gastro,GTI089,What is an appropriate treatment for an itchy throat associated with allergies?,Cough suppressants,Antihistamines,Expectorants,None of the above,Antihistamines,Antihistamines,Antihistamines can help relieve itching and irritation in the throat associated with allergies.
skin,SKN070,A patient with eczema is experiencing intense itching. Which class of medication is commonly prescribed for symptomatic relief of itching?,Topical corticosteroids,Topical antibiotics,Oral retinoids,Antihistamines,Beta-blockers,Antihistamines,"Antihistamines can help relieve itching by blocking histamine receptors, providing symptomatic relief in conditions like eczema."
face,EYR088,What is the primary mechanism of action for antihistamines?,Block histamine receptors,Increase mucus production,Dilate blood vessels,Suppress cough,Block histamine receptors,Block histamine receptors,Antihistamines work by blocking histamine receptors to reduce allergy symptoms.
gastro,GTI088,What is the primary mechanism of action for antihistamines?,Block histamine receptors,Increase mucus production,Dilate blood vessels,Suppress cough,Block histamine receptors,Block histamine receptors,Antihistamines work by blocking histamine receptors to reduce allergy symptoms.
allergy,ALL003,What is the mechanism of action of antihistamines in treating allergic rhinitis?,Inhibiting histamine release,Blocking histamine receptors,Reducing inflammation,Increasing mucous production,Blocking histamine receptors,Blocking histamine receptors,"Antihistamines work by blocking histamine receptors, which helps alleviate symptoms of allergic rhinitis."
face,EYR003,What is the primary treatment for allergic conjunctivitis?,Antibiotics,Antihistamines,Topical corticosteroids,Moisturizing drops,Antihistamines,Antihistamines,"Antihistamines, either oral or topical, are the primary treatment for allergic conjunctivitis."
classification,MED005,Which class of drugs is primarily used to lower blood pressure?,Analgesics,Antihypertensives,Antibiotics,Anticoagulants,Antiemetics,Antihypertensives,"Antihypertensives are medications used to lower blood pressure and reduce the risk of heart-related issues. Common examples include ACE inhibitors, beta-blockers, and calcium channel blockers."
chemotherapy,CHE006,What is the mechanism of action of antimetabolites?,Inhibit DNA synthesis,Cross-link DNA,Inhibit protein synthesis,Block RNA polymerase,None of the above,Inhibit DNA synthesis,"Antimetabolites work by mimicking the building blocks of DNA and RNA, thereby inhibiting their synthesis and leading to cell death."
innovation,INN120,A pharmacist is discussing the use of antimicrobial stewardship programs. What is the primary goal of such programs?,Increase antibiotic prescribing,Reduce costs by limiting all medications,Promote the appropriate use of antimicrobials to combat resistance,Encourage over-the-counter antibiotic sales,Eliminate the use of antibiotics altogether,Promote the appropriate use of antimicrobials to combat resistance,Antimicrobial stewardship aims to optimize antibiotic use to treat infections effectively while minimizing the development of resistance.
public,PUB056,Which of the following statements about antimicrobial stewardship is TRUE?,It is solely the responsibility of infectious disease specialists,It aims to reduce antimicrobial resistance through appropriate use,It discourages the use of narrow-spectrum antibiotics,It has no impact on patient outcomes,It involves promoting antibiotic use in all patients,It aims to reduce antimicrobial resistance through appropriate use,Antimicrobial stewardship promotes the appropriate use of antibiotics to combat resistance and improve patient outcomes.
antipsychotics,CHO096,What is a potential metabolic effect of antipsychotic medications?,Weight loss,Hyperglycemia,Decreased cholesterol levels,All of the above,None of the above,Hyperglycemia,"Antipsychotic medications, particularly atypical antipsychotics, can lead to hyperglycemia and increased body weight."
antipsychotics,CHO065,What is the relationship between antipsychotic therapy and cardiovascular health?,Increased risk of heart disease,No effect on heart health,Protective against heart disease,All of the above,None of the above,Increased risk of heart disease,"Antipsychotic therapy, especially atypical antipsychotics, is associated with an increased risk of cardiovascular issues, necessitating monitoring."
antipsychotics,CHO072,What type of drug is used to treat acute agitation in psychotic disorders?,Antidepressants,Anxiolytics,Antipsychotics,All of the above,None of the above,Antipsychotics,Antipsychotics are used to manage acute agitation in patients with psychotic disorders.
adverse,ADV260,Which of the following medications can cause hyperprolactinemia leading to galactorrhea?,Metformin,Lisinopril,Haloperidol,Atenolol,Atorvastatin,Haloperidol,"Antipsychotics like haloperidol block dopamine receptors, leading to increased prolactin secretion and potential galactorrhea."
antipsychotics,CHO101,What is the effect of antipsychotics on the dopamine system?,Enhancement of dopamine activity,Inhibition of dopamine activity,No effect on dopamine,All of the above,None of the above,Inhibition of dopamine activity,"Antipsychotics primarily inhibit dopamine activity, which helps reduce symptoms of psychosis."
respire,REC002,Which medication class is typically used to treat a dry cough?,Expectorants,Antitussives,Decongestants,Antihistamines,Antitussives,Antitussives,Antitussives are used to suppress a dry cough by inhibiting the cough reflex.
respire,REC092,What is the primary function of antitussives?,Suppress cough reflex,Loosen mucus,Increase mucus secretion,None of the above,Suppress cough reflex,Suppress cough reflex,Antitussives function by suppressing the cough reflex in the brain.
respire,REC051,What is the recommended treatment for a cough associated with a common cold?,Antibiotics,Expectorants,Antitussives,Antihistamines,Antitussives,Antitussives,Antitussives may be recommended to suppress a dry cough associated with a common cold.
otc,OTC021,A man requests advice on treating hemorrhoids. He reports pain and itching but no bleeding. Which OTC product is MOST appropriate?,Anusol cream (zinc oxide and bismuth oxide),Hydrocortisone suppositories,Glycerin suppositories,Lidocaine gel,Rectal diclofenac suppositories,Anusol cream (zinc oxide and bismuth oxide),Anusol provides symptomatic relief for hemorrhoids with ingredients that soothe and protect. Hydrocortisone suppositories are OTC but require caution. Lidocaine gel may relieve pain but is not specific for hemorrhoids.
smoking,SMO019,What is a common psychological effect experienced during smoking cessation?,Euphoria,Anxiety,Increased focus,Calmness,Weight loss,Anxiety,Anxiety is a common psychological effect experienced during smoking cessation due to nicotine withdrawal.
controlled,CON115,Which of the following is TRUE regarding the requirement to report lost or stolen Controlled Drugs?,There is no requirement to report,Pharmacists must report losses to the police and the accountable officer,Losses can be ignored if small,Reporting is optional,Only Schedule 2 drugs need to be reported,Pharmacists must report losses to the police and the accountable officer,Any loss or theft of Controlled Drugs must be reported promptly to the police and the organization's accountable officer to initiate appropriate investigations and prevent misuse.
psychiatric,PSY040,A patient on antidepressants reports new onset of suicidal thoughts. What should the pharmacist recommend?,Increase dose,Stop medication immediately,Report to healthcare provider,Continue monitoring,Switch to a different class of antidepressant,Report to healthcare provider,"Any new or worsening suicidal thoughts should be reported to the healthcare provider immediately, especially in patients on antidepressants."
anticoagulants,COA105,What is the effect of apixaban on platelet function?,Increases platelet function,Decreases platelet function,Has no effect,Enhances fibrinogen levels,None of the above,Decreases platelet function,"Apixaban decreases platelet function by inhibiting factor Xa, which reduces thrombus formation."
population,POP065,An elderly patient is at risk of bleeding. Which anticoagulant is preferred due to predictable pharmacokinetics and lower risk of intracranial hemorrhage?,Warfarin,Heparin,Dabigatran,Rivaroxaban,Apixaban,Apixaban,"Apixaban has shown a lower risk of bleeding, including intracranial hemorrhage, and predictable pharmacokinetics without the need for monitoring."
cardiovascular,CVS120,Which anticoagulant is a direct factor Xa inhibitor with a rapid onset of action and is reversible with andexanet alfa?,Warfarin,Heparin,Dabigatran,Rivaroxaban,Apixaban,Apixaban,"Apixaban is a direct factor Xa inhibitor with a rapid onset of action and can be reversed using andexanet alfa, which neutralizes its anticoagulant effects."
anticoagulants,COA069,Which medication is often used as an alternative to warfarin for patients with atrial fibrillation?,Heparin,Clopidogrel,Apixaban,Insulin,None of the above,Apixaban,Apixaban is often used as an alternative to warfarin for the prevention of stroke in patients with atrial fibrillation.
anticoagulants,COA014,What is the primary indication for the use of apixaban?,Management of hypertension,Prevention of stroke in atrial fibrillation,Treatment of chronic pain,Anticoagulation in DVT,All of the above,Prevention of stroke in atrial fibrillation,Apixaban is primarily indicated for the prevention of stroke in patients with non-valvular atrial fibrillation and for the treatment of DVT and PE.
weight_2,WEI067,Which statement is true regarding the use of appetite suppressants?,They are a quick fix for weight loss,They work best with a healthy lifestyle,They should be used long-term without changes,They replace the need for exercise,They only work for certain individuals,They work best with a healthy lifestyle,Appetite suppressants are most effective when combined with a healthy diet and exercise.
weight_2,WEI077,What is an appropriate use for appetite suppressants?,As a sole weight loss method,In conjunction with a weight management program,For immediate results only,For weight gain,Only for women,In conjunction with a weight management program,Appetite suppressants are most effective when used alongside a structured weight management program.
weight_2,WEI040,Which of the following is true regarding the duration of use for appetite suppressants?,Can be used indefinitely,Typically recommended for short-term,Only for long-term management,No limits,Only as needed,Typically recommended for short-term,Appetite suppressants are typically recommended for short-term use as part of a weight management strategy.
weight_2,WEI017,What is a common benefit of appetite suppressants?,Quick weight loss,Long-term weight maintenance,Reduced caloric intake,Increased muscle mass,None of the above,Reduced caloric intake,Appetite suppressants can help reduce caloric intake by decreasing hunger and cravings.
weight_2,WEI055,What is the purpose of appetite suppressants?,To eliminate the need for exercise,To replace a balanced diet,To help control hunger and reduce calorie intake,To replace meals entirely,None of the above,To help control hunger and reduce calorie intake,"Appetite suppressants help control hunger and reduce calorie intake, not eliminate the need for exercise or a balanced diet."
weight,WEI007,Which of the following is a contraindication for using appetite suppressants?,Hypertension,Diabetes,Hypothyroidism,Anemia,Hypertension,Hypertension,"Appetite suppressants may exacerbate hypertension, so they are contraindicated in patients with uncontrolled high blood pressure."
weight,WEI001,What is the primary action of appetite suppressants?,Increase fat absorption,Reduce hunger sensations,Promote water retention,Stimulate metabolism,Reduce hunger sensations,Reduce hunger sensations,"Appetite suppressants primarily work by reducing hunger sensations, making it easier for individuals to consume fewer calories."
patient,PAT106,A patient is prescribed nitroglycerin ointment for angina. What is the correct application method?,Apply liberally over the entire chest,Apply a measured dose on applicator paper and place on the skin,rubbing it in,Ingest the ointment orally,Apply only during an angina attack,Application method is not important,Apply a measured dose on applicator paper and place on the skin rubbing it in Using the applicator paper ensures accurate dosing and proper application without excessive absorption or wastage.
pain,PAN012,What non-pharmacological approach can help alleviate menstrual cramps?,Hot water bottle application,Increased activity,High-sodium diet,Prolonged sitting,Hot water bottle application,Hot water bottle application,Applying a hot water bottle can help relax the uterine muscles and reduce the discomfort associated with menstrual cramps.
patient,PAT114,A patient is prescribed topical clindamycin for acne. What application advice should you provide?,Apply only to active lesions,Avoid washing the face before application,Apply a thin layer to the entire affected area after cleansing,Avoid using any other skin products,Use a thick layer for better effect,Apply a thin layer to the entire affected area after cleansing,"Applying a thin layer over the affected area ensures even treatment and effectiveness. Cleansing removes oils and debris, enhancing absorption."
ear,EAR022,Which of the following can enhance the effectiveness of carbamide peroxide?,Regular use,Using with alcohol,Applying heat before use,Cotton swab application,None of the above,Applying heat before use,Applying a warm compress before using carbamide peroxide can enhance its effectiveness in softening ear wax.
face,EYR075,What is an effective home remedy for managing ear pain associated with an ear infection?,Warm compress,Cold pack,Increased activity,None of the above,Warm compress,Warm compress,Applying a warm compress can help alleviate ear pain associated with an ear infection.
gastro,GTI075,What is an effective home remedy for managing ear pain associated with an ear infection?,Warm compress,Cold pack,Increased activity,None of the above,Warm compress,Warm compress,Applying a warm compress can help alleviate ear pain associated with an ear infection.
oncology,ONC064,A patient is receiving 5-FU chemotherapy and develops hand-foot syndrome. Which supportive care measure can help manage this condition?,Increase sun exposure,Avoid moisturizer,Apply emollients,Use NSAIDs,Increase exercise,Apply emollients,Applying emollients and avoiding friction can help reduce the discomfort and skin breakdown associated with hand-foot syndrome.
haemorrhoid,HAE023,A patient applies hydrocortisone cream immediately after a sitz bath. Which of the following is a benefit of this timing?,Reduces potential irritation from the cream,Maximizes absorption of hydrocortisone,Prevents overuse of the cream,Minimizes risk of bacterial infection,Prevents systemic absorption,Maximizes absorption of hydrocortisone,"Applying hydrocortisone after a sitz bath may enhance absorption due to the softened skin and increased blood flow in the area, improving the effectiveness of the medication."
topical,TOP065,What is the best time of day to apply hydrocortisone cream for maximum effectiveness?,At bedtime,In the morning,Anytime during the day,Before meals,After meals,At bedtime,Applying hydrocortisone cream at bedtime may allow for better absorption and reduce irritation during the day.
ophthalmology,OPH089,Which of the following supplements is commonly recommended for AMD?,Calcium,Iron,AREDS formula,Vitamin B12,Folic acid,AREDS formula,AREDS formula provides antioxidants and zinc that may help slow AMD progression.
ophthalmology,OPH100,What is the primary benefit of AREDS supplements in AMD?,Increase eye pressure,Restore vision,Slow disease progression,Increase tear production,Improve visual acuity,Slow disease progression,AREDS supplements contain antioxidants that may help slow AMD progression.
ophthalmology,OPH080,Which of the following can help reduce the progression of AMD?,Increased caffeine intake,Antibiotics,AREDS supplements,NSAIDs,Timolol,AREDS supplements,AREDS supplements contain antioxidants that may help slow the progression of AMD.
ophthalmology,OPH102,Which of the following is commonly recommended to support eye health in AMD?,AREDS supplements,Vitamin B12,Calcium,Iron,Magnesium,AREDS supplements,AREDS supplements provide antioxidants and zinc that support eye health in AMD.
anticoagulants,COA056,What is the first-line treatment for heparin-induced thrombocytopenia (HIT)?,Warfarin,Fondaparinux,Argatroban,Dabigatran,None of the above,Argatroban,Argatroban is a direct thrombin inhibitor that is often used as a first-line treatment for patients with HIT.
psychiatric,PSY089,What is the primary action of aripiprazole?,Inhibits serotonin reuptake,Partial agonist at dopamine receptors,Inhibits norepinephrine reuptake,Blocks acetylcholine receptors,Enhances GABA activity,Partial agonist at dopamine receptors,"Aripiprazole acts as a partial agonist at D2 dopamine receptors, helping to stabilize dopamine levels."
psychiatric,PSY111,What is the mechanism of action of aripiprazole?,Inhibits serotonin receptors,Partial agonist at dopamine D2 receptors,Blocks norepinephrine reuptake,Inhibits serotonin reuptake,None of the above,Partial agonist at dopamine D2 receptors,"Aripiprazole acts as a partial agonist at D2 receptors, stabilizing dopamine levels in the brain."
antipsychotics,CHO071,What is the mechanism of action of aripiprazole?,Dopamine receptor agonism,Dopamine receptor antagonism,Partial agonism at D2 and 5-HT1A receptors,All of the above,None of the above,Partial agonism at D2 and 5-HT1A receptors,"Aripiprazole acts as a partial agonist at dopamine D2 and serotonin 5-HT1A receptors, which helps stabilize mood and reduce psychotic symptoms."
psychiatric,PSY047,What is the mechanism of action of aripiprazole?,Partial agonist at dopamine receptors,Antagonist at serotonin receptors,Inhibits norepinephrine reuptake,Enhances GABA activity,Inhibits serotonin reuptake,Partial agonist at dopamine receptors,"Aripiprazole acts as a partial agonist at dopamine D2 receptors, helping to stabilize dopamine levels."
antipsychotics,CHO068,Which antipsychotic has a unique partial agonist mechanism at dopamine receptors?,Risperidone,Quetiapine,Aripiprazole,Haloperidol,None of the above,Aripiprazole,"Aripiprazole acts as a partial agonist at dopamine receptors, which contributes to its unique side effect profile."
psychiatric,PSY103,Which medication is commonly used for treatment-resistant depression?,Fluoxetine,Venlafaxine,Duloxetine,Aripiprazole,Citalopram,Aripiprazole,Aripiprazole can be used as an adjunctive treatment for patients with treatment-resistant depression.
psychiatric,PSY117,What is a common side effect of aripiprazole?,Increased weight,Sedation,Akathisia,All of the above,None of the above,All of the above,"Aripiprazole can cause metabolic side effects including weight gain, sedation, and akathisia."
nervous,CNS086,"Which antipsychotic is a dopamine partial agonist used in the treatment of schizophrenia and bipolar disorder, known for its lower risk of weight gain?",Risperidone,Aripiprazole,Olanzapine,Quetiapine,Haloperidol,Aripiprazole,Aripiprazole is a dopamine partial agonist used in schizophrenia and bipolar disorder. Its partial agonism reduces the risk of weight gain and metabolic side effects compared to other atypical antipsychotics.
nervous,CNS071,Which antipsychotic drug is a dopamine partial agonist used in the treatment of schizophrenia and bipolar disorder with a lower risk of weight gain?,Haloperidol,Risperidone,Aripiprazole,Olanzapine,Quetiapine,Aripiprazole,Aripiprazole is a dopamine partial agonist used in treating schizophrenia and bipolar disorder. Its partial agonism at D2 receptors contributes to a lower risk of weight gain and metabolic side effects compared to other atypical antipsychotics.
nervous,CNS111,Which antipsychotic is an atypical agent that acts as a dopamine partial agonist and is used to treat both schizophrenia and bipolar disorder?,Haloperidol,Risperidone,Clozapine,Aripiprazole,Quetiapine,Aripiprazole,"Aripiprazole is an atypical antipsychotic that acts as a partial agonist at dopamine D2 receptors, used to treat both schizophrenia and bipolar disorder, with a lower risk of extrapyramidal side effects."
nervous,CNS058,"Which medication is an antipsychotic with partial dopamine agonist activity, reducing the risk of extrapyramidal side effects?",Haloperidol,Risperidone,Clozapine,Aripiprazole,Fluphenazine,Aripiprazole,"Aripiprazole is an atypical antipsychotic with partial dopamine agonist activity, which helps reduce the risk of extrapyramidal side effects compared to typical antipsychotics."
antipsychotics,CHO008,Which atypical antipsychotic is specifically approved for the treatment of schizophrenia and bipolar disorder?,Quetiapine,Aripiprazole,Lurasidone,Clozapine,None of the above,Aripiprazole,Aripiprazole is approved for both schizophrenia and bipolar disorder.
